name,ancestors,Description
Hypena proboscidalis,"['Hypena proboscidalis', 'Hypena', 'Erebidae', 'Lepidoptera', 'Insecta', 'Animalia']",(the snout)
Apidae,"['Apidae', 'Hymenoptera', 'Insecta', 'Animalia']","(Bumblebees, honeybees, stingless bees, carpenter bees, orchid bees, cuckoo bees etc.)"
Myathropa,"['Myathropa', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']",(Genus of hoverflies)
Myathropa florea,"['Myathropa florea', 'Myathropa', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']",(batman hoverfly)
Parasitica indet.,"['Parasitica indet.', 'Hymenoptera', 'Insecta', 'Animalia']",(Parasitican wasps)
Arctia,"['Arctia', 'Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']",(Genus of tiger moths)
Arctia caja,"['Arctia caja', 'Arctia', 'Arctiidae', 'Lepidoptera', 'Insecta', 'Animalia']","(Garden tiger moth, great tiger moth)"
Helophilus,"['Helophilus', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']","(moderate to large hoverflies, appear bee-like)"
Panorpa germanica,"['Panorpa germanica', 'Panorpa', 'Panorpidae', 'Mecoptera', 'Insecta', 'Animalia']",(German scorpionfly)
Eristalis,"['Eristalis', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']",(Drone flies)
Tholera,"['Tholera', 'Noctuidae', 'Lepidoptera', 'Insecta', 'Animalia']",(Genus of moths)
Tholera decimalis,"['Tholera decimalis', 'Tholera', 'Noctuidae', 'Lepidoptera', 'Insecta', 'Animalia']",(Feathered gothic)
Notodonta,"['Notodonta', 'Notodontidae', 'Lepidoptera', 'Insecta', 'Animalia']",(Genus of moths)
Notodonta dromedarius,"['Notodonta dromedarius', 'Notodonta', 'Notodontidae', 'Lepidoptera', 'Insecta', 'Animalia']",(the iron prominent)
Melanostoma,"['Melanostoma', 'Syrphidae', 'Diptera', 'Insecta', 'Animalia']",(Genus of hoverflies)
No Animalia,['No Animalia'],(Not an animal)
